수서역 공영주차장, 2, 급속&완속, 서울특별시 강남구 수서동 735, 127.0999152, 37.4879705
학여울역 공영주차장, 1, 급속&완속, 서울특별시 강남구 남부순환로 3104, 127.0722393, 37.495846
GS칼텍스 삼성로점, 1, 급속&완속, 서울특별시 강남구 삼성로 563 GS칼텍스, 127.0590717, 37.5027999
롯데마트 잠실점, 2, 급속&완속, 서울특별시 송파구 올림픽로 240 롯데마트, 127.1026097, 37.5213517
이마트 명일점, 1, 급속&완속, 서울특별시 강동구 고덕로 276 이마트, 127.1475975, 37.5555874
이마트 문현점, 1, 급속&완속, 부산광역시 남구 전포대로91번길 47 이마트, 129.0654101, 35.1446869
홈플러스 아시아드점, 1, 급속&완속, 부산광역시 연제구 종합운동장로7 홈플러스, 129.064837, 35.192699
이마트 연제점, 1, 급속&완속, 부산광역시 연제구 연수로 89, 129.081336, 35.1761533
인천공항 정부합동청사, 1, 급속&완속, 인천광역시 중구 공항로424번길 47 인천국제공항정부합동청사, 126.464624, 37.4482643
롯데마트 영종도점, 1, 급속&완속, 인천광역시 중구 흰바위로 51 롯데마트, 126.4878961, 37.4918654
홈플러스테스코 인하점, 1, 급속&완속, 인천광역시 남구 소성로 6 홈플러스테스코, 126.6741538, 37.4402656
이마트 연수점, 1, 급속&완속, 인천광역시 연수구 경원대로 184 이마트, 126.6901839, 37.4182654
홈플러스 구월점, 1, 급속&완속, 인천광역시 남동구 예술로 198 홈플러스, 126.7022637, 37.458078
한국환경공단_기후대기관, 2, 급속&완속, 인천광역시 서구 환경로 42 종합환경연구단지, 126.6759723, 37.5454212
인천광역시 서구청, 1, 급속&완속, 인천광역시 서구 서곶로 307 서구청, 126.6772296, 37.5601366
홈플러스 가좌점, 1, 급속&완속, 인천광역시 서구 가정로151번길 11 홈플러스, 126.6698699, 37.4979985
광주시청, 11, 급속&완속, 광주광역시 서구 내방로 111 광주광역시청, 126.8628244, 35.1585217
광주시청, 12, 급속&완속, 광주광역시 서구 내방로 111 광주광역시청, 126.8628244, 35.1585217
광주문화예술회관 주차장, 1, 급속&완속, 광주광역시 북구 북문대로 60 광주문화예술회관, 126.8734077, 35.1812281
홈플러스 동대전점, 1, 급속&완속, 대전광역시 동구 한밭대로 1282 홈플러스, 127.4367577, 36.3554238
홈플러스 동수원점, 1, 급속&완속, 경기도 수원시 팔달구 효원로 257 홈플러스, 127.0192375, 37.2655819
이마트 서수원점, 1, 급속&완속, 경기도 수원시 권선구 수인로 291, 126.9701183, 37.2825088
이마트 성남점, 1, 급속&완속, 경기도 성남시 수정구 수정로 201, 127.1413754, 37.4442613
홈플러스 의정부점, 1, 급속&완속, 경기도 의정부시 청사로 38, 127.0710005, 37.7521309
홈플러스테스코 안양점, 1, 급속&완속, 경기도 안양시 동안구 엘에스로 92, 126.9509572, 37.3710995
이마트 중동점, 1, 급속&완속, 경기도 부천시 원미구 석천로 188, 126.7639393, 37.5040222
홈플러스 안산점, 1, 급속&완속, 경기도 안산시 상록구 충장로 432, 126.8503318, 37.3175008
롯데마트 주엽점, 1, 급속&완속, 경기도 고양시 일산서구 중앙로 1496, 126.7553321, 37.6733388
롯데마트 고양점, 1, 급속&완속, 경기도 고양시 덕양구 충장로 150, 126.8362978, 37.6251676
과천시청, 3, 급속&완속, 경기도 과천시 관문로 69, 126.9873512, 37.4294865
이마트 도농점, 1, 급속&완속, 경기도 남양주시 도농로 24, 127.1586827, 37.60841
홈플러스 시화점, 1, 급속&완속, 경기도 시흥시 희망공원로 269, 126.7252272, 37.3451537
이마트 하남점, 1, 급속&완속, 경기도 하남시 덕풍서로 70, 127.2054114, 37.5528229
이마트 보라점, 1, 급속&완속, 경기도 용인시 기흥구 한보라1로 92, 127.1050578, 37.2475155
이마트 죽전점, 1, 급속&완속, 경기도 용인시 수지구 포은대로 552, 127.1100001, 37.3252976
이마트 이천점, 1, 급속&완속, 경기도 이천시 이섭대천로 1440-50, 127.4590649, 37.2938305
안성휴게소_부산방향, 1, 급속&완속, 경기도 안성시 원곡면 경부고속도로 365 안성휴게소, 127.1296122, 37.0397005
안성휴게소_서울방향, 1, 급속&완속, 경기도 안성시 원곡면 경부고속도로 372 안성휴게소, 127.1296122, 37.0397005
홈플러스 풍무점, 1, 급속&완속, 경기도 김포시 풍무로 167, 126.7236531, 37.6099507
홈플러스테스코 병점점, 1, 급속&완속, 경기도 화성시 경기도대로 985, 126.8311887, 37.1994932
화성휴게소_목포방향, 1, 급속&완속, 경기도 화성시 팔탄면 서해안고속도로 301, 126.9032039, 37.161112
화성휴게소_시흥방향, 1, 급속&완속, 경기도 화성시 팔탄면 서해안고속도로 302, 126.9032039, 37.161112
가평휴게소_춘천방향, 1, 급속&완속, 경기도 가평군 설악면 미사리로 540번길 51 가평휴게소, 127.5462984, 37.702608
가평휴게소_서울방향, 1, 급속&완속, 경기도 가평군 설악면 미사리로 544 가평휴게소, 127.5434452, 37.701486
춘천시청, 1, 급속&완속, 강원도 춘천시 시청길 11 춘천시청, 127.7301655, 37.8812864
평창 알펜시아 리조트, 1, 급속&완속, 강원도 평창군 대관령면 용산리, 128.6641565, 37.6334784
KTX 오송역 공영주차장, 1, 급속&완속, 충청북도 청원군 오송읍 봉산리 370-1 KTX , 127.3284616, 36.6210431
롯데마트 당진점, 1, 급속&완속, 충청남도 당진시 정안로 20 , 126.6462036, 36.9055041
당진 근로자복지회관, 1, 급속&완속, 충청남도 당진시 송악읍 부곡공단4길 53-13 , 126.7754637, 36.9614169
영광 노을전시관 주차장, 1, 급속&완속, 전라남도 영광군 백수읍 해안로 957 , 126.3892892, 35.3536577
포항시청, 2, 급속&완속, 경상북도 포항시 남구 시청로 1 , 129.3432983, 36.0191816
의창구청, 5, 급속&완속, 경상남도 창원시 의창구 태복산로15번길 8 , 128.6402941, 35.2535423
홈플러스 마산점, 1, 급속&완속, 경상남도 창원시 마산회원구 삼호로 56 , 128.5857659, 35.2226108
진해해양공원 주차장, 1, 급속&완속, 경상남도 창원시 진해구 명동로 62 , 128.7193638, 35.0921752
제주시청 주차장, 10, 급속&완속, 제주특별자치도 제주시 광양9길 10 , 126.5319439, 33.4999974
제주도청 2청사 본관 주차장, 8, 급속&완속, 제주특별자치도 제주시 문연로 30 , 126.5006816, 33.4890071
거문오름 주차장, 1, 급속&완속, 제주특별자치도 제주시 조천읍, 126.6342455, 33.5344076
람사르습지 주차장, 1, 급속&완속, 제주특별자치도 제주시 조천읍 선흘리 924, 126.7152832, 33.5094877
어리목 휴게소, 1, 급속&완속, 제주특별자치도 제주시 해안동 220-13, 126.4946024, 33.3926926
제주현대미술관 주차장, 1, 급속&완속, 제주특별자치도 제주시 한경면 저지14길 38, 126.2654418, 33.3414846
관음사지구안내소 주차장, 1, 급속&완속, 제주특별자치도 제주시 산록북로 588, 126.5503226, 33.4218993
에너지홍보관 주차장, 1, 급속&완속, 제주특별자치도 제주시 구좌읍 해맞이해안로 712-3, 126.8187356, 33.559415
비자림 주차장, 1, 급속&완속, 제주특별자치도 제주시 구좌읍 비자숲길 55, 126.8113883, 33.4913168
제주소방서 항만 119센터, 1, 급속&완속, 제주특별자치도 제주시 임항로 146 , 126.5393656, 33.5201279
농업기술원 주차장, 4, 급속&완속, 제주특별자치도 서귀포시 중산간서로 212, 126.4890452, 33.2613191
제주국제컨벤션센터, 1, 급속&완속, 제주특별자치도 서귀포시 중문관광로 224, 126.4245153, 33.2413649
영어교육도시 주차장, 1, 급속&완속, 제주특별자치도 서귀포시 대정읍 구억리 618, 126.281979, 33.2876756
산방산 주차장, 1, 급속&완속, 제주특별자치도 서귀포시 안덕면 사계리 163-1, 126.3119793, 33.2359439
성읍민속마을 주차장, 1, 급속&완속, 제주특별자치도 서귀포시 표선면 성읍정의현로 22번길 7-1, 126.802159, 33.3846452
중문랜드 주차장, 1, 급속&완속, 제주특별자치도 서귀포시 소보리당로 164번길 60, 126.3852041, 33.2639753
서귀포 천지연폭포 주차장, 1, 급속&완속, 제주특별자치도 서귀포시 서홍동 남성중로 668 , 126.553507, 33.2542585
정부중앙청사 본관, 1, 급속, 서울특별시 종로구 세종대로 209, 126.9752082, 37.5748817
정부중앙청사 별관, 1, 급속, 서울특별시 종로구 사직로8길 60, 126.9750812, 37.5735705
서울중앙우체국, 2, 급속, 서울특별시 중구 소공로 70 서울중앙우체국, 126.9818186, 37.5605557
한전 경인건설처, 1, 급속, 서울특별시 중구 퇴계로 140 한전 경인건설처, 126.9945971, 37.5609724
홈플러스 영도점, 1, 급속, 부산광역시 영도구 대교로14번길 57, 129.0442397, 35.0959061
이마트 해운대점, 1, 급속, 부산광역시 해운대구 좌동 순환로 511, 129.1673879, 35.1659937
롯데마트 사하점, 1, 급속, 부산광역시 사하구 을숙도대로 610, 128.9715769, 35.0848397
이마트 금정점, 1, 급속, 부산광역시 금정구 중앙대로1841번길 24, 129.0907241, 35.2500198
기아차 부산서비스센터, 1, 급속, 부산광역시 사상구 가야대로 141, 128.9884256, 35.1501758
대구시청, 1, 급속, 대구광역시 중구 공평로 88 대구시청, 128.6003575, 35.8679881
송도컨벤시아주차장, 1, 급속, 인천광역시 연수구 센트럴로 123, 126.6460025, 37.3881259
인천시청, 1, 급속, 인천광역시 남동구 정각로 29 인천시청, 126.7052611, 37.4561057
영산강유역환경청, 1, 급속, 광주광역시 서구 계수로 31 영산강유역환경청, 126.8561762, 35.1606089
롯데마트 월드컵점, 1, 급속, 광주광역시 서구 금화로 240, 126.8755729, 35.1329733
이마트 광산점, 1, 급속, 광주광역시 광산구 사암로 172, 126.8086126, 35.1599796
롯데마트 첨단점, 1, 급속, 광주광역시 광산구 첨단강변로99번길 22, 126.8520507, 35.2163562
홈플러스 대전탄방점, 1, 급속, 대전광역시 서구 둔산중로 1, 127.3862051, 36.3471302
울산시청, 1, 급속, 울산광역시 남구 중앙로 201, 129.3114902, 35.5386989
고양시청, 4, 급속, 경기도 고양시 덕양구 고양시청로 10, 126.8320138, 37.6582159
일산 동구청, 3, 급속, 경기도 고양시 일산동구 중앙로 1256, 126.7749135, 37.6585592
영월스포츠파크 실내수영장 주차장, 1, 급속, 강원도 영월군 영월읍 제방안길 100, 128.466118, 37.1781563
충남 농업기술원, 1, 급속, 충청남도 예산군 신암면 추사로 167, 126.8187254, 36.7426954
천의삼거리주차장, 1, 급속, 충청남도 당진시 정미면 천의리 천의삼거리 주차장 내, 126.5687781, 36.8849718
삼봉4리 사무소, 1, 급속, 충청남도 당진시 대호만로 1736-7, 126.5374876, 37.0134854
당진 합덕읍민회관, 1, 급속, 충청남도 당진시 합덕읍 중방로 7, 126.7654717, 36.8129777
당진시청, 1, 급속, 충청남도 당진시 시청로 1, 126.6283278, 36.8936109
당진보건소, 1, 급속, 충청남도 당진시 서부로 56, 126.630263, 36.8873273
농업기술센터 본사_당진, 1, 급속, 충청남도 당진시 구봉로 46, 126.6499558, 36.913399
현대제철, 1, 급속, 충청남도 당진시 송악읍 북부산업로 1480, 126.728028, 36.9817129
나주시청_관용주차장, 1, 급속, 전라남도 나주시 시청길 22, 126.7108816, 35.0158097
롯데마트 나주점, 1, 급속, 전라남도 나주시 내동길 15, 126.7119553, 35.0134842
법성면사무소, 2, 급속, 전라남도 영광군 법성면 진굴비길 68-1, 126.4459655, 35.3620257
대마 전기차 산업단지, 1, 급속, 전라남도 영광군 대마면 송죽리 대마전기차 산업단지 내, 126.5768394, 35.2808862
청산면사무소, 2, 급속, 전라남도 완도군 청산면 청산로1613번길 19-3, 126.8587888, 34.1797645
포항 북구청_내 주차장, 2, 급속, 경상북도 포항시 북구 중앙로 325, 129.3654754, 36.041735
이마트 포항점, 1, 급속, 경상북도 포항시 남구 냉천로 10, 129.3980639, 35.9920307
울릉군청, 1, 급속, 경상북도 울릉군 울릉읍 도동2길 66, 130.9043746, 37.4884577
울릉군 북면사무소, 2, 급속, 경상북도 울릉군 북면 천부2길 15, 130.8736816, 37.5447341
울릉군 서면사무소, 2, 급속, 경상북도 울릉군 서면 남양4길 31, 130.8366506, 37.4717255
창원시청, 1, 급속, 경상남도 창원시 의창구 중앙대로 151, 128.6831979, 35.2282982
진해구청, 1, 급속, 경상남도 창원시 진해구 진해대로 1101, 128.710342, 35.1313465
진동면사무소, 2, 급속, 경상남도 창원시 마산합포구 진동면 진동시장길 17, 128.4883762, 35.1151331
롯데마트 삼계점, 1, 급속, 경상남도 창원시 마산회원구 내서읍 경남대로 927, 128.5040935, 35.2330229
성주동주민센터, 1, 급속, 경상남도 창원시 성산구 공단로 735, 128.6950216, 35.1897462
동읍사무소, 2, 급속, 경상남도 창원시 의창구 동읍 동읍로 88 , 128.6827407, 35.2843644
이마트 마산점, 1, 급속, 경상남도 창원시 마산합포구 서성로 3, 128.5695328, 35.1978245
구산면사무소, 1, 급속, 경상남도 창원시 마산합포구 구산면 구산로 554, 128.5806129, 35.119458
이마트 창원점, 1, 급속, 경상남도 창원시 성산구 원이대로 608, 128.6801916, 35.2266376
제주도 도청 1청사, 1, 급속, 제주특별자치도 제주시 문연로 6, 126.4980797, 33.4888341
제주도 자치경찰단, 1, 급속, 제주특별자치도 제주시 중앙로 273, 126.5327324, 33.4963157
제주 해녀박물관, 2, 급속, 제주특별자치도 제주시 구좌읍 해녀박물관길 26 , 126.8628483, 33.5230497
제주 애월읍사무소, 2, 급속, 제주특별자치도 제주시 애월읍 일주서로 6322 , 126.3296776, 33.461942
한림읍사무소, 2, 급속, 제주특별자치도 제주시 한림읍 한림상로 132, 126.2670984, 33.410104
구좌체육관, 1, 급속, 제주특별자치도 제주시 구좌읍 김녕로 209, 126.7616506, 33.5561992
조천체육관, 1, 급속, 제주특별자치도 제주시 조천읍 조천18길 11-1, 126.6439447, 33.5397165
산굼부리주차장, 1, 급속, 제주특별자치도 제주시 조천읍 교래리 산38, 126.6961241, 33.4322993
한경면체육관, 1, 급속, 제주특별자치도 제주시 한경면 칠전로 41, 126.1845554, 33.3014102
제주 노루생태공원, 1, 급속, 제주특별자치도 제주시 명림로 520, 126.6266442, 33.4444421
한라도서관, 1, 급속, 제주특별자치도 제주시 오남로 221, 126.516046, 33.4763664
성산읍 사무소, 2, 급속, 제주특별자치도 서귀포시 성산읍 일주동로 4330, 126.9110996, 33.4424138
대정읍사무소, 2, 급속, 제주특별자치도 서귀포시 대정읍 하모중앙로 20, 126.2520832, 33.2267537
